office,conferenceRoom,hallway,auditorium,openspace,lobby,lounge,pantry,copyRoom,storage,WC
0.028847402,0.061886042,0.112955876,0.038189385,0.0324054,0.063312314,0.08145518,0.08702019,0.21066347,0.06982996,0.21343477
0.012389543,0.060409863,0.17389984,0.018074052,0.006973788,0.042289626,0.032676376,0.063363135,0.10837452,0.055061813,0.42648742
0.08834166,0.11558851,0.45725137,0.064733036,0.010286672,0.028268272,0.009254249,0.050911076,0.0092790555,0.09136487,0.07472124
0.08927662,0.11039257,0.12587221,0.3413583,0.012211887,0.012046552,0.011453575,0.10136067,0.0030812402,0.17450647,0.01843991
0.03968259,0.042426463,0.0068839653,0.7061313,0.0028362835,0.0022223957,0.004622683,0.06547691,0.0002691798,0.1275544,0.001893894
0.003061595,0.0049342434,5.6152337e-05,0.92417055,0.00019588534,0.000103182305,0.00077531143,0.027273517,1.5241118e-05,0.039348274,6.601217e-05
0.00029506272,0.0007535711,7.4011245e-07,0.9841257,1.2562902e-05,5.235424e-06,8.534833e-05,0.005736249,5.203251e-07,0.008982511,2.668839e-06
1.8839411e-05,0.0002594097,7.1294295e-08,0.9880467,1.946711e-06,3.6792815e-07,1.0026464e-05,0.00659864,6.594965e-08,0.0050631394,6.788655e-07
4.0783067e-07,2.6236876e-05,1.2387006e-09,0.9958075,2.404249e-07,1.914608e-08,1.0314756e-06,0.0032024176,4.398499e-09,0.000962013,8.386929e-08
1.9123618e-10,2.81599e-07,9.274239e-13,0.998885,3.18522e-08,4.3698145e-10,9.959364e-08,0.0010683616,7.522347e-10,4.632292e-05,7.0062147e-09
1.7132204e-13,3.7168228e-09,1.6085331e-15,0.99967027,3.9376635e-09,1.4448203e-11,1.5161984e-08,0.000326139,1.5868344e-10,3.5381129e-06,4.4634021e-10
2.8997824e-16,8.183092e-11,7.019625e-18,0.99987864,7.082594e-10,6.018609e-13,2.4703812e-09,0.000121158766,1.6993226e-11,1.9314538e-07,7.1642886e-11
6.098195e-19,2.6053593e-12,4.6521433e-20,0.99996746,1.4501217e-10,3.8215894e-14,2.833839e-10,3.2501735e-05,2.9733206e-12,2.0511031e-08,1.808778e-11
1.3883954e-21,7.6058944e-14,3.0042767e-22,0.99999297,2.3724614e-11,3.0028898e-15,4.039736e-11,7.010315e-06,4.148986e-13,2.1549225e-09,3.2521154e-12
